Category	Term	Count	Percent	Fold	P-value	Bonferroni	FDR	miRNA
Disease	Carcinoma, Gastric, Signet Ring Cell	1	0.33333333	6.30141844	0.1505	1	0.6738	hsa-mir-935
Disease	Adenocarcinoma, Gastric	1	0.02631579	0.4974804	0.876	1	1	hsa-mir-96
Disease	Down Syndrome	1	0.08333333	1.57535461	0.4802	1	1	hsa-mir-96
Disease	Squamous Cell Carcinoma, Cerevial	1	0.05882353	1.11201502	0.6047	1	1	hsa-mir-96
Transcription Factor	CEBPA	6	0.54545455	10.31141199	6.98e-6	4.29e-3	4.77e-4	hsa-let-7a-2,hsa-mir-1-2,hsa-let-7a-1,hsa-let-7a-3,hsa-mir-182,hsa-mir-29b-2
Transcription Factor	EIF2C2	5	0.45454545	8.59284333	1.34e-4	0.0822	4.24e-3	hsa-let-7a-2,hsa-let-7b,hsa-let-7a-3,hsa-let-7e,hsa-let-7a-1
Transcription Factor	FLI1	3	1	18.90425532	1.44e-4	0.0883	4.25e-3	hsa-let-7a-3,hsa-let-7a-2,hsa-let-7a-1
Transcription Factor	FSH	3	0.6	11.34255319	1.33e-3	0.8164	0.0211	hsa-let-7a-3,hsa-let-7a-2,hsa-let-7a-1
Transcription Factor	LIN28	5	0.45454545	8.59284333	1.34e-4	0.0822	4.24e-3	hsa-let-7a-2,hsa-let-7b,hsa-let-7a-3,hsa-let-7e,hsa-let-7a-1
Transcription Factor	LIN28B	5	0.45454545	8.59284333	1.34e-4	0.0822	4.24e-3	hsa-let-7a-2,hsa-let-7b,hsa-let-7a-3,hsa-let-7e,hsa-let-7a-1
Transcription Factor	MYC	6	0.15	2.8356383	0.0166	1	0.1285	hsa-let-7a-2,hsa-let-7b,hsa-mir-29c,hsa-let-7e,hsa-let-7a-3,hsa-let-7a-1
Transcription Factor	TRIM32	5	0.45454545	8.59284333	1.34e-4	0.0822	4.24e-3	hsa-let-7a-2,hsa-let-7b,hsa-let-7a-3,hsa-let-7e,hsa-let-7a-1
Transcription Factor	ZEB1	5	0.35714286	6.75151976	5.10e-4	0.3137	0.0111	hsa-let-7a-2,hsa-let-7b,hsa-mir-34b,hsa-let-7e,hsa-let-7a-1
Transcription Factor	NFKB1	5	0.19230769	3.63543372	0.0101	1	0.0906	hsa-let-7b,hsa-mir-29c,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-10b
Transcription Factor	AKT1	1	0.16666667	3.15070922	0.2786	1	1	hsa-let-7e
Transcription Factor	EGR1	9	0.31034483	5.86683786	9.22e-6	5.67e-3	5.65e-4	hsa-mir-125a,hsa-mir-425,hsa-mir-96,hsa-mir-149,hsa-let-7e,hsa-mir-191,hsa-mir-30a,hsa-mir-642a,hsa-mir-10a
Transcription Factor	MRF4	2	0.4	7.56170213	0.0249	1	0.1758	hsa-mir-1-2,hsa-mir-1-1
Transcription Factor	MYF5	2	0.4	7.56170213	0.0249	1	0.1758	hsa-mir-1-2,hsa-mir-1-1
Transcription Factor	MYOD	2	0.4	7.56170213	0.0249	1	0.1758	hsa-mir-1-2,hsa-mir-1-1
Transcription Factor	MYOGENIN	2	0.4	7.56170213	0.0249	1	0.1758	hsa-mir-1-2,hsa-mir-1-1
Transcription Factor	SLUG	2	0.4	7.56170213	0.0249	1	0.1758	hsa-mir-1-2,hsa-mir-1-1
Transcription Factor	TNFSF12	2	0.25	4.72606383	0.0629	1	0.3692	hsa-mir-1-1,hsa-mir-1-2
Transcription Factor	YY1	4	0.5	9.45212766	4.37e-4	0.2687	9.58e-3	hsa-mir-1-1,hsa-mir-1-2,hsa-mir-29c,hsa-mir-29b-2
Transcription Factor	HMGA1	3	0.5	9.45212766	2.55e-3	1	0.0366	hsa-mir-101-2,hsa-mir-101-1,hsa-mir-196a-2
Transcription Factor	TWIST1	2	0.2	3.78085106	0.0945	1	0.5166	hsa-mir-10b,hsa-mir-372
Transcription Factor	TLR2	1	0.33333333	6.30141844	0.1505	1	0.6738	hsa-mir-125a
Transcription Factor	HIF1A	2	0.18181818	3.43713733	0.1116	1	0.5346	hsa-mir-1275,hsa-mir-372
Transcription Factor	DDX5	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-182
Transcription Factor	SOX2	1	0.08333333	1.57535461	0.4802	1	1	hsa-mir-182
Transcription Factor	MECP2	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-184
Transcription Factor	TP53	4	0.2	3.78085106	0.0185	1	0.14	hsa-mir-34c,hsa-mir-34b,hsa-mir-29c,hsa-mir-29b-2
Transcription Factor	REST	1	0.2	3.78085106	0.2382	1	0.9344	hsa-mir-29c
Transcription Factor	ESR2	1	0.33333333	6.30141844	0.1505	1	0.6738	hsa-mir-30a
Transcription Factor	SPI1	2	0.18181818	3.43713733	0.1116	1	0.5346	hsa-mir-338,hsa-mir-342
Transcription Factor	SNAI1	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-34b
Transcription Factor	SP1	1	0.1	1.89042553	0.4201	1	1	hsa-mir-34c
Transcription Factor	CTNNB1	1	0.25	4.72606383	0.1955	1	0.8081	hsa-mir-372
Transcription Factor	LEF1	1	0.25	4.72606383	0.1955	1	0.8081	hsa-mir-372
Transcription Factor	CDK	2	1	18.90425532	2.77e-3	1	0.0365	hsa-mir-449b,hsa-mir-449a
Transcription Factor	E2F1	3	0.11538462	2.18126023	0.1552	1	0.6677	hsa-mir-449b,hsa-mir-449c,hsa-mir-449a
Transcription Factor	RB	2	1	18.90425532	2.77e-3	1	0.0365	hsa-mir-449b,hsa-mir-449a
Cluster	hsa-let-7a-1 cluster	1	0.33333333	6.30141844	0.1505	1	0.6738	hsa-let-7a-1
Cluster	hsa-mir-100 cluster	1	0.33333333	6.30141844	0.1505	1	0.6738	hsa-let-7a-2
Cluster	hsa-mir-3619 cluster	2	0.5	9.45212766	0.0155	1	0.1287	hsa-let-7a-3,hsa-let-7b
Cluster	hsa-mir-99b cluster	2	0.66666667	12.60283688	8.02e-3	1	0.0805	hsa-let-7e,hsa-mir-125a
Cluster	hsa-mir-1-1 cluster	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-1-1
Cluster	hsa-mir-1-2 cluster	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-1-2
Cluster	hsa-mir-101-1 cluster	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-101-1
Cluster	hsa-mir-103b-1 cluster	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-103a-1
Cluster	hsa-mir-103a-2 cluster	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-103a-2
Cluster	hsa-mir-10b cluster	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-10b
Cluster	hsa-mir-1250 cluster	2	0.5	9.45212766	0.0155	1	0.1287	hsa-mir-1250,hsa-mir-338
Cluster	hsa-mir-135a-1 cluster	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-135a-1
Cluster	hsa-mir-183 cluster	2	0.66666667	12.60283688	8.02e-3	1	0.0805	hsa-mir-96,hsa-mir-182
Cluster	hsa-mir-191 cluster	2	1	18.90425532	2.77e-3	1	0.0365	hsa-mir-191,hsa-mir-425
Cluster	hsa-mir-196a-2 cluster	2	1	18.90425532	2.77e-3	1	0.0365	hsa-mir-196a-2,hsa-mir-615
Cluster	hsa-mir-29b-2 cluster	2	1	18.90425532	2.77e-3	1	0.0365	hsa-mir-29b-2,hsa-mir-29c
Cluster	hsa-mir-30a cluster	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-30a
Cluster	hsa-mir-3190 cluster	2	1	18.90425532	2.77e-3	1	0.0365	hsa-mir-3190,hsa-mir-3191
Cluster	hsa-mir-33b cluster	2	1	18.90425532	2.77e-3	1	0.0365	hsa-mir-33b,hsa-mir-6777
Cluster	hsa-mir-342 cluster	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-342
Cluster	hsa-mir-34b cluster	2	1	18.90425532	2.77e-3	1	0.0365	hsa-mir-34b,hsa-mir-34c
Cluster	hsa-mir-512-1 cluster	1	0.02	0.37808511	0.9365	1	1	hsa-mir-372
Cluster	hsa-mir-3913-2 cluster	2	1	18.90425532	2.77e-3	1	0.0365	hsa-mir-3913-2,hsa-mir-3913-1
Cluster	hsa-mir-5692a-2 cluster	2	0.66666667	12.60283688	8.02e-3	1	0.0805	hsa-mir-3926-1,hsa-mir-3926-2
Cluster	hsa-mir-449c cluster	3	1	18.90425532	1.44e-4	0.0883	4.25e-3	hsa-mir-449c,hsa-mir-449b,hsa-mir-449a
Cluster	hsa-mir-4724 cluster	1	0.25	4.72606383	0.1955	1	0.8081	hsa-mir-4724
Cluster	hsa-mir-489 cluster	2	1	18.90425532	2.77e-3	1	0.0365	hsa-mir-489,hsa-mir-653
Cluster	hsa-mir-499a cluster	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-499a
Cluster	hsa-mir-5681a cluster	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-5681b
Cluster	hsa-mir-642b cluster	1	0.33333333	6.30141844	0.1505	1	0.6738	hsa-mir-642a
Family	let-7 family	5	0.41666667	7.87677305	2.20e-4	0.1351	5.50e-3	hsa-let-7a-1,hsa-let-7a-2,hsa-let-7a-3,hsa-let-7b,hsa-let-7e
Family	mir-1 family	2	0.66666667	12.60283688	8.02e-3	1	0.0805	hsa-mir-1-1,hsa-mir-1-2
Family	mir-101 family	2	1	18.90425532	2.77e-3	1	0.0365	hsa-mir-101-1,hsa-mir-101-2
Family	mir-103 family	2	0.4	7.56170213	0.0249	1	0.1758	hsa-mir-103a-1,hsa-mir-103a-2
Family	mir-10 family	3	0.375	7.08909574	6.61e-3	1	0.07	hsa-mir-10a,hsa-mir-10b,hsa-mir-125a
Family	mir-135 family	2	0.66666667	12.60283688	8.02e-3	1	0.0805	hsa-mir-135a-1,hsa-mir-135a-2
Family	mir-153 family	2	1	18.90425532	2.77e-3	1	0.0365	hsa-mir-153-1,hsa-mir-153-2
Family	mir-190 family	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-190b
Family	mir-196 family	2	0.66666667	12.60283688	8.02e-3	1	0.0805	hsa-mir-196a-1,hsa-mir-196a-2
Family	mir-29 family	2	0.5	9.45212766	0.0155	1	0.1287	hsa-mir-29b-2,hsa-mir-29c
Family	mir-30 family	1	0.16666667	3.15070922	0.2786	1	1	hsa-mir-30a
Family	mir-3156 family	3	1	18.90425532	1.44e-4	0.0883	4.25e-3	hsa-mir-3156-1,hsa-mir-3156-2,hsa-mir-3156-3
Family	mir-3190 family	2	1	18.90425532	2.77e-3	1	0.0365	hsa-mir-3190,hsa-mir-3191
Family	mir-33 family	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-33b
Family	mir-34 family	2	0.66666667	12.60283688	8.02e-3	1	0.0805	hsa-mir-34b,hsa-mir-34c
Family	mir-290 family	1	0.33333333	6.30141844	0.1505	1	0.6738	hsa-mir-372
Family	mir-3913 family	2	1	18.90425532	2.77e-3	1	0.0365	hsa-mir-3913-1,hsa-mir-3913-2
Family	mir-3926 family	2	1	18.90425532	2.77e-3	1	0.0365	hsa-mir-3926-1,hsa-mir-3926-2
Family	mir-449 family	3	1	18.90425532	1.44e-4	0.0883	4.25e-3	hsa-mir-449a,hsa-mir-449b,hsa-mir-449c
Family	mir-548 family	2	0.02702703	0.51092582	0.9126	1	1	hsa-mir-548aw,hsa-mir-548t
Family	mir-5681 family	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-5681b
Family	mir-642 family	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-642a
Family	mir-664 family	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-664a
Tissue Specificity	testis	7	0.14893617	2.81552739	0.0102	1	0.0908	hsa-mir-125a,hsa-mir-342,hsa-let-7e,hsa-let-7b,hsa-let-7a-1,hsa-let-7a-2,hsa-let-7a-3
Tissue Specificity	Heart&amp;amp;Muscle	2	0.16666667	3.15070922	0.1295	1	0.5961	hsa-mir-1-1,hsa-mir-1-2
Tissue Specificity	small_intestine.duodenum	4	0.08888889	1.68037825	0.2117	1	0.8399	hsa-mir-499a,hsa-mir-1-1,hsa-mir-101-1,hsa-mir-30a
Tissue Specificity	prostate	1	0.11111111	2.10047281	0.3875	1	1	hsa-mir-10a
Tissue Specificity	brain.gray_matter	2	0.66666667	12.60283688	8.02e-3	1	0.0805	hsa-mir-135a-1,hsa-mir-135a-2
Tissue Specificity	Brain	2	0.1	1.89042553	0.2861	1	1	hsa-mir-153-1,hsa-mir-153-2
Tissue Specificity	kidney.medulla_renalis	1	0.05555556	1.05023641	0.6259	1	1	hsa-mir-153-2
Tissue Specificity	kidney.cortex_renalis	2	0.04878049	0.9221588	0.6489	1	1	hsa-mir-182,hsa-mir-96
Tissue Specificity	Placenta	2	0.18181818	3.43713733	0.1116	1	0.5346	hsa-mir-184,hsa-mir-372
Tissue Specificity	spleen	3	0.16666667	3.15070922	0.0657	1	0.3717	hsa-mir-3156-1,hsa-mir-3156-2,hsa-mir-3156-3
Tissue Specificity	nerve.not_specified	1	0.11111111	2.10047281	0.3875	1	1	hsa-mir-3178
Tissue Specificity	brain.nucleus_caudatus	1	0.1	1.89042553	0.4201	1	1	hsa-mir-338
Tissue Specificity	myocardium	1	0.02439024	0.4610794	0.8951	1	1	hsa-mir-33b
Tissue Specificity	bone.marrow	2	0.66666667	12.60283688	8.02e-3	1	0.0805	hsa-mir-34c,hsa-mir-34b
Tissue Specificity	small_intestine.jejunum	1	0.2	3.78085106	0.2382	1	0.9344	hsa-mir-4446
Tissue Specificity	brain.white_matter	1	0.25	4.72606383	0.1955	1	0.8081	hsa-mir-4446
Tissue Specificity	adipocyte	1	0.09090909	1.71856867	0.451	1	1	hsa-mir-664a
Cell Specificity	Mesenchymal_Stem_Cells_amniotic_membrane	2	0.5	9.45212766	0.0155	1	0.1287	hsa-let-7a-1,hsa-let-7a-3
Cell Specificity	Fibroblast_Periodontal_Ligament	1	0.11111111	2.10047281	0.3875	1	1	hsa-let-7a-2
Cell Specificity	spinal_cord	3	0.07142857	1.35030395	0.3852	1	1	hsa-let-7b,hsa-mir-338,hsa-mir-4790
Cell Specificity	Smooth_Muscle_Cells_Uterine	1	0.14285714	2.7006079	0.3169	1	1	hsa-let-7b
Cell Specificity	Fibroblast_Pulmonary_Artery	3	0.05084746	0.96123332	0.6139	1	1	hsa-let-7e,hsa-mir-125a,hsa-mir-6788
Cell Specificity	Skeletal_Muscle_Satellite_Cells	2	0.22222222	4.20094563	0.0782	1	0.4356	hsa-mir-1-1,hsa-mir-196a-2
Cell Specificity	COBL-a_rinderpest_infection_24hr	1	0.08333333	1.57535461	0.4802	1	1	hsa-mir-1-1
Cell Specificity	Mast_cell	4	0.13333333	2.52056738	0.0701	1	0.3941	hsa-mir-101-1,hsa-mir-125a,hsa-mir-202,hsa-mir-3655
Cell Specificity	Natural_Killer_Cells	4	0.19047619	3.60081054	0.022	1	0.1633	hsa-mir-101-1,hsa-mir-101-2,hsa-mir-3912,hsa-mir-548t
Cell Specificity	Dendritic_Cells_monocyte_immature_derived	4	0.1	1.89042553	0.1576	1	0.6734	hsa-mir-103a-2,hsa-mir-103a-1,hsa-mir-191,hsa-mir-4668
Cell Specificity	CD14+_Monocytes	1	0.02040816	0.38580113	0.9328	1	1	hsa-mir-103a-2
Cell Specificity	Renal_Epithelial_Cells	1	0.125	2.36303191	0.3532	1	1	hsa-mir-10a
Cell Specificity	Renal_Proximal_Tubular_Epithelial_Cell	3	0.25	4.72606383	0.0223	1	0.1615	hsa-mir-10a,hsa-mir-3190,hsa-mir-4668
Cell Specificity	Lymphatic_Endothelial_cells_response_to_VEGFC_08hr00min	1	0.2	3.78085106	0.2382	1	0.9344	hsa-mir-10b
Cell Specificity	Lymphatic_Endothelial_cells_response_to_VEGFC_01hr00min	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-10b
Cell Specificity	pituitary_gland	3	0.07894737	1.49244121	0.3259	1	1	hsa-mir-1250,hsa-mir-135a-1,hsa-mir-135a-2
Cell Specificity	pineal_gland	10	0.19230769	3.63543372	2.64e-4	0.1625	6.52e-3	hsa-mir-1250,hsa-mir-182,hsa-mir-29b-2,hsa-mir-29c,hsa-mir-3926-1,hsa-mir-3926-2,hsa-mir-4800,hsa-mir-664a,hsa-mir-760,hsa-mir-96
Cell Specificity	SRhi10043.GTGGCC.4540+4541	1	0.02702703	0.51092582	0.8689	1	1	hsa-mir-1251
Cell Specificity	CD3+_T_Lymphocytes_(nuclear)	5	0.12820513	2.42362248	0.0515	1	0.3079	hsa-mir-1251,hsa-mir-3178,hsa-mir-3678,hsa-mir-4446,hsa-mir-6508
Cell Specificity	H9_Embryonic_Stem_cells	2	0.02325581	0.43963384	0.9498	1	1	hsa-mir-1275,hsa-mir-935
Cell Specificity	Retinal_Pigment_Epithelial_Cells	2	0.05882353	1.11201502	0.5454	1	1	hsa-mir-135a-1,hsa-mir-4675
Cell Specificity	Mesenchymal_Stem_Cells_adipose	1	0.07142857	1.35030395	0.5341	1	1	hsa-mir-149
Cell Specificity	amniotic_membrane_cells	2	0.04545455	0.85928433	0.6873	1	1	hsa-mir-149,hsa-mir-5684
Cell Specificity	Neural_stem_cells	2	0.04878049	0.9221588	0.6489	1	1	hsa-mir-153-2,hsa-mir-4790
Cell Specificity	Smooth_Muscle_Cells_Pulmonary_Artery	1	0.125	2.36303191	0.3532	1	1	hsa-mir-184
Cell Specificity	CD14+_monocytes_treated_with_BCG	1	0.08333333	1.57535461	0.4802	1	1	hsa-mir-191
Cell Specificity	Fibroblast_skin_normal	2	0.10526316	1.98992161	0.266	1	1	hsa-mir-196a-1,hsa-mir-196a-2
Cell Specificity	Fibroblast_Mammary	1	0.06666667	1.26028369	0.5589	1	1	hsa-mir-202
Cell Specificity	Adipocyte_omental	1	0.33333333	6.30141844	0.1505	1	0.6738	hsa-mir-2114
Cell Specificity	Gingival_epithelial_cells_(GEA14)	3	0.14285714	2.7006079	0.0956	1	0.5165	hsa-mir-29b-2,hsa-mir-33b,hsa-mir-4714
Cell Specificity	CD8+_T_Cells	2	0.11111111	2.10047281	0.2459	1	0.9437	hsa-mir-29c,hsa-mir-548aw
Cell Specificity	Renal_Cortical_Epithelial_Cells	1	0.09090909	1.71856867	0.451	1	1	hsa-mir-30a
Cell Specificity	MCF7_breast_cancer_cell_line_response_to_HRG_01hr20min	3	0.3	5.6712766	0.0131	1	0.1126	hsa-mir-3156-1,hsa-mir-3156-2,hsa-mir-3156-3
Cell Specificity	Smooth_Muscle_Cells_Esophageal	2	0.05	0.94521277	0.6354	1	1	hsa-mir-3156-1,hsa-mir-3156-2
Cell Specificity	iPS_derived_from_Dermal_Fibroblast_(nuclear)	7	0.09210526	1.74118141	0.1024	1	0.55	hsa-mir-3178,hsa-mir-3912,hsa-mir-3913-1,hsa-mir-3913-2,hsa-mir-4680,hsa-mir-5091,hsa-mir-96
Cell Specificity	Embryonic_Stem_cell_(nuclear)	3	0.03061224	0.57870169	0.9029	1	1	hsa-mir-3190,hsa-mir-3655,hsa-mir-4680
Cell Specificity	Fibroblast_Villous_Mesenchymal	1	0.125	2.36303191	0.3532	1	1	hsa-mir-3191
Cell Specificity	Smooth_Muscle_Cells_Prostate	1	0.1	1.89042553	0.4201	1	1	hsa-mir-3191
Cell Specificity	Neutrophils	3	0.06122449	1.15740339	0.4856	1	1	hsa-mir-338,hsa-mir-4724,hsa-mir-618
Cell Specificity	mesenchymal_stem_cells_(adipose_derived)_adipogenic_induction_day12	2	0.16666667	3.15070922	0.1295	1	0.5961	hsa-mir-33b,hsa-mir-642a
Cell Specificity	CD4+_T_Cells	1	0.125	2.36303191	0.3532	1	1	hsa-mir-342
Cell Specificity	Corneal_Epithelial_Cells	2	0.1	1.89042553	0.2861	1	1	hsa-mir-34b,hsa-mir-34c
Cell Specificity	SRhi10043.GTAGAG.4082+4083	1	0.03571429	0.67515198	0.7843	1	1	hsa-mir-34b
Cell Specificity	SRhi10043.GTGAAA.4080+4081	1	0.03448276	0.65187087	0.7959	1	1	hsa-mir-34c
Cell Specificity	CD3+_T_Lymphocytes_(cytosolic)	1	0.2	3.78085106	0.2382	1	0.9344	hsa-mir-3678
Cell Specificity	Prostate_Epithelial_Cells_(polarized)	2	0.06666667	1.26028369	0.4775	1	1	hsa-mir-372,hsa-mir-499a
Cell Specificity	Skeletal_Muscle_Cells	2	0.22222222	4.20094563	0.0782	1	0.4356	hsa-mir-3919,hsa-mir-615
Cell Specificity	Ciliary_Epithelial_Cells	5	0.20833333	3.93838652	7.10e-3	1	0.0729	hsa-mir-3926-1,hsa-mir-3926-2,hsa-mir-4784,hsa-mir-625,hsa-mir-6777
Cell Specificity	MCF7_breast_cancer_cell_line_response_to_HRG_00hr45min	3	0.1875	3.54454787	0.0486	1	0.299	hsa-mir-425,hsa-mir-489,hsa-mir-653
Cell Specificity	SRhi10043.GTCCGC.4538+4539	1	0.01694915	0.32041111	0.9617	1	1	hsa-mir-4442
Cell Specificity	Urothelial_Cells	1	0.04	0.75617021	0.7454	1	1	hsa-mir-4446
Cell Specificity	Fibroblast_Choroid_Plexus	1	0.06666667	1.26028369	0.5589	1	1	hsa-mir-4484
Cell Specificity	COBL-a_rinderpest_infection_00hr	3	0.15789474	2.98488242	0.0751	1	0.421	hsa-mir-449a,hsa-mir-449b,hsa-mir-449c
Cell Specificity	COBL-a_rinderpest(-C)_infection	1	0.07692308	1.45417349	0.5079	1	1	hsa-mir-449b
Cell Specificity	Tracheal_Epithelial_Cells	1	0.11111111	2.10047281	0.3875	1	1	hsa-mir-4714
Cell Specificity	MCF7_breast_cancer_cell_line_response_to_HRG_00hr30min	2	0.33333333	6.30141844	0.0361	1	0.2352	hsa-mir-4756,hsa-mir-5691
Cell Specificity	SRhi10042.GGTAGC.4474+4483	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-4800
Cell Specificity	MCF7_breast_cancer_cell_line_response_to_HRG_01hr00min	1	0.16666667	3.15070922	0.2786	1	1	hsa-mir-489
Cell Specificity	Prostate_Stromal_Cells	1	0.06666667	1.26028369	0.5589	1	1	hsa-mir-548aw
Cell Specificity	Endothelial_Cells_Microvascular	3	0.1875	3.54454787	0.0486	1	0.299	hsa-mir-548t,hsa-mir-6788,hsa-mir-887
Cell Specificity	MCF7_breast_cancer_cell_line_response_to_EGF1_00hr00min	1	0.25	4.72606383	0.1955	1	0.8081	hsa-mir-5694
Cell Specificity	Anulus_Pulposus_Cell	1	0.03030303	0.57285622	0.8364	1	1	hsa-mir-615
Cell Specificity	Smooth_Muscle_Cells_Tracheal_Artery	1	0.125	2.36303191	0.3532	1	1	hsa-mir-6508
Cell Specificity	MCF7_breast_cancer_cell_line_response_to_HRG_01hr40min	1	0.11111111	2.10047281	0.3875	1	1	hsa-mir-653
Cell Specificity	CD19+_B_Lymphocytes_(nuclear)	2	0.05714286	1.08024316	0.5614	1	1	hsa-mir-664a,hsa-mir-6762
Cell Specificity	Fibroblast_Conjunctival	1	0.08333333	1.57535461	0.4802	1	1	hsa-mir-6762
Cell Specificity	Keratinocyte_oral	1	0.02272727	0.42964217	0.9112	1	1	hsa-mir-6777
Cell Specificity	Hepatic_Sinusoidal_Endothelial_Cells	1	0.05555556	1.05023641	0.6259	1	1	hsa-mir-887
